iter	Passed	Remaining
0	136	136238
1	128	64292
2	130	43327
3	131	32837
4	134	26705
5	136	22632
6	138	19689
7	140	17429
8	142	15703
9	145	14430
10	147	13247
11	149	12287
12	150	11459
13	153	10804
14	155	10215
15	156	9641
16	158	9136
17	159	8697
18	161	8326
19	162	7978
20	164	7687
21	166	7412
22	168	7145
23	169	6896
24	171	6671
25	172	6477
26	174	6300
27	176	6130
28	178	5960
29	179	5811
30	181	5669
31	183	5540
32	184	5418
33	186	5294
34	187	5171
35	188	5055
36	190	4953
37	191	4848
38	192	4753
39	194	4658
40	194	4558
41	196	4479
42	197	4399
43	199	4338
44	200	4265
45	202	4209
46	204	4147
47	205	4074
48	206	4015
49	209	3976
50	210	3920
51	213	3883
52	214	3831
53	215	3779
54	216	3728
55	219	3696
56	221	3657
57	222	3618
58	224	3575
59	225	3530
60	226	3490
61	229	3472
62	231	3441
63	232	3407
64	234	3367
65	235	3330
66	236	3294
67	238	3269
68	239	3236
69	241	3215
70	243	3184
71	244	3154
72	246	3124
73	248	3109
74	250	3086
75	251	3057
76	252	3029
77	253	3001
78	255	2974
79	257	2955
80	258	2930
81	260	2912
82	261	2888
83	262	2866
84	264	2843
85	265	2823
86	267	2806
87	269	2790
88	271	2777
89	272	2756
90	273	2734
91	276	2724
92	277	2706
93	279	2693
94	280	2675
95	282	2657
96	283	2640
97	285	2630
98	287	2618
99	289	2604
100	290	2587
101	292	2570
102	293	2558
103	295	2549
104	297	2538
105	299	2524
106	300	2510
107	302	2494
108	304	2489
109	307	2486
110	309	2475
111	311	2470
112	312	2456
113	314	2447
114	317	2441
115	320	2441
116	322	2431
117	325	2430
118	326	2419
119	328	2406
120	329	2392
121	330	2381
122	333	2374
123	335	2371
124	338	2368
125	340	2360
126	341	2348
127	344	2347
128	350	2365
129	354	2371
130	359	2384
131	363	2393
132	365	2384
133	367	2374
134	369	2364
135	372	2363
136	374	2359
137	376	2350
138	378	2344
139	381	2345
140	384	2340
141	386	2334
142	388	2325
143	391	2326
144	393	2321
145	395	2315
146	397	2305
147	398	2294
148	402	2299
149	405	2295
150	412	2316
151	416	2322
152	418	2315
153	420	2311
154	425	2319
155	427	2312
156	430	2310
157	432	2302
158	433	2294
159	435	2287
160	437	2277
161	439	2272
162	440	2263
163	442	2257
164	444	2249
165	445	2238
166	446	2229
167	448	2222
168	450	2215
169	452	2208
170	453	2199
171	454	2190
172	457	2185
173	458	2177
174	459	2168
175	461	2160
176	462	2152
177	464	2143
178	465	2133
179	467	2127
180	468	2120
181	469	2112
182	471	2103
183	472	2095
184	474	2088
185	475	2080
186	478	2080
187	479	2073
188	481	2065
189	482	2056
190	483	2048
191	484	2040
192	486	2035
193	488	2028
194	489	2022
195	491	2015
196	492	2007
197	493	1999
198	495	1993
199	496	1987
200	498	1980
201	499	1974
202	501	1967
203	502	1959
204	503	1952
205	505	1949
206	507	1945
207	509	1940
208	511	1935
209	514	1937
210	517	1935
211	519	1929
212	520	1922
213	521	1917
214	525	1917
215	526	1912
216	528	1907
217	530	1901
218	531	1895
219	534	1893
220	536	1889
221	537	1882
222	538	1876
223	539	1869
224	541	1863
225	542	1859
226	545	1856
227	548	1855
228	549	1850
229	555	1858
230	557	1854
231	559	1853
232	563	1854
233	566	1854
234	568	1849
235	569	1844
236	572	1844
237	574	1840
238	576	1836
239	578	1831
240	579	1825
